Passengers;Revision;Temperature_Midday;Sunshine_Percentage;Snow_5Days;Temperature_Deviation;Temperature_Max;Temperature_Min;Temperature_Evening;Precipiation_5Days;Precipiation;Wind;Holiday;Special_Event;Year;Day_in_Month;Day;Month
2580;0;4.9;52;5;2.3;5.1;-0.8;0.9;12.1;4.6;9.9;1;1;2006;1;Sunday;January
1973;0;2.4;0;5;2.3;3.4;0.6;2.7;12.4;0.3;6.1;1;1;2006;2;Monday;January
1044;0;2.2;11;5;1.6;2.9;-1.6;1.8;12.4;0;5.3;0;0;2006;3;Tuesday;January
980;0;0.8;0;0;0.2;1.1;-1;0.6;10.3;0;6.4;0;0;2006;4;Wednesday;January
1139;0;-0.3;88;0;-1.8;0.9;-5.4;-3.2;0.3;0;4.5;0;0;2006;5;Thursday;January
1057;0;-2.7;0;0;-3.2;-1.8;-6.7;-2.9;0.3;0;5.1;0;0;2006;6;Friday;January
914;0;-2.4;0;0;-2.7;-1.8;-3.7;-3.2;0;0;4.4;0;0;2006;7;Saturday;January
1581;0;-2.8;0;0;-2.9;-1.9;-3.9;-2.7;0;0;4.4;0;0;2006;8;Sunday;January
808;0;-2.7;0;0;-2.9;-2.3;-4;-2.9;0;0;4.6;0;0;2006;9;Monday;January
792;0;-3.5;0;0;-3.3;-2.7;-4.8;-3.3;0;0;3.8;0;0;2006;10;Tuesday;January
794;0;-3.6;65;0;-4.5;-2.2;-7.6;-5.3;0;0;3.9;0;0;2006;11;Wednesday;January
735;0;-2.9;0;0;-3.7;-1.4;-6.6;-3;0;0;4.4;0;0;2006;12;Thursday;January
984;0;-2.9;35;0;-3.8;-1.9;-5.4;-3.9;0;0;4.2;0;0;2006;13;Friday;January
1157;0;-4.3;0;0;-4.5;-3.3;-5.6;-4.2;0;0;3.8;0;0;2006;14;Saturday;January
1418;0;-5.2;43;0;-5;-2.9;-7;-4.5;0;0;3.7;0;0;2006;15;Sunday;January
1077;0;-4.4;31;2;-3.8;-1.6;-6.5;-2.5;1.1;1;3.7;0;0;2006;16;Monday;January
566;0;2.3;0;2;0.8;2.7;-2;1.4;2;0.9;3.9;0;0;2006;17;Tuesday;January
706;0;4.9;0;2;3.6;5.4;1;3.8;9.3;5.5;11.5;0;0;2006;18;Wednesday;January
716;0;3.7;0;2;3.1;4.3;1.1;3.1;9.4;2;4.3;0;0;2006;19;Thursday;January
1120;0;0.9;0;2;1.5;2.6;0.4;0.9;9.4;0;6.7;0;0;2006;20;Friday;January
938;0;3.6;2;0;3.3;4.7;1.2;4.5;9.4;0.9;4.6;0;0;2006;21;Saturday;January
1615;0;3;6;0;2.4;3.9;0.7;2.5;8.5;0.2;5.7;0;0;2006;22;Sunday;January
782;0;-2.4;0;0;-1.7;0.7;-4.3;-2.5;1.2;0;7.1;0;0;2006;23;Monday;January
764;0;-4.2;0;0;-4.6;-3.1;-5.8;-4.2;1.1;0;5.3;0;0;2006;24;Tuesday;January
891;0;-1.4;20;4;-2.7;0.2;-6.3;-1.3;2.2;0;4.5;0;0;2006;25;Wednesday;January
763;0;0.2;3;4;-0.4;1.3;-2.3;-0.4;1.4;1.4;6.2;0;0;2006;26;Thursday;January
1203;0;-2.3;27;4;-2.5;-0.6;-4.2;-2.2;1.4;0;5.6;0;0;2006;27;Friday;January
1061;0;-0.1;11;4;-1.3;2.3;-4.8;0;1.4;0;6.5;0;0;2006;28;Saturday;January
1550;0;-0.2;20;4;-1.4;2;-4.2;-1.2;1.4;0;3.9;0;0;2006;29;Sunday;January
1070;0;-0.1;57;0;-2.4;1.5;-5;-1.8;0.3;0;4.9;0;0;2006;30;Monday;January
2330;0;0;30;0;-2.6;1.3;-5.8;-1.9;0;0;3.9;0;0;2006;31;Tuesday;January
863;0;-1.4;0;0;-2.1;-0.2;-4.8;-0.9;0;0;3.5;0;0;2006;1;Wednesday;February
958;0;-1.8;0;0;-2.7;-1.4;-3.7;-1.8;0;0;3.8;0;0;2006;2;Thursday;February
1022;0;-2.6;0;0;-3;-2.1;-3.4;-2.7;0;0;4.9;0;0;2006;3;Friday;February
1102;0;-3;0;0;-4.3;-3;-5.4;-4.6;0;0;6.4;0;0;2006;4;Saturday;February
1731;0;-2.6;0;0;-4;-2.2;-5.3;-2.8;0;0;5;0;0;2006;5;Sunday;February
832;0;1.7;32;0;-1.1;2.9;-2.7;0.1;0;0;4.3;0;0;2006;6;Monday;February
807;0;4.3;3;0;1.3;5.6;-0.8;3.5;0;0;7.1;0;0;2006;7;Tuesday;February
834;0;4.6;0;1;2;4.7;0.7;2.1;0.7;0;13.8;0;0;2006;8;Wednesday;February
824;0;4.8;11;2;1.1;6;-1.1;0.4;1.4;1.4;12.9;0;0;2006;9;Thursday;February
1026;0;2.6;18;3;0.2;3.8;-0.6;1.3;1.8;0;11.5;0;0;2006;10;Friday;February
1034;0;1.8;10;3;-0.9;2.1;-2.1;0.5;1.8;0.4;6.3;0;0;2006;11;Saturday;February
1971;0;-0.3;60;3;-3;0.3;-5;-1.2;1.8;0;4.9;0;0;2006;12;Sunday;February
884;0;-1;49;2;-3;1.7;-5.4;0.6;1.1;0;4.2;0;0;2006;13;Monday;February
1273;0;6.7;73;1;1;7.5;-2.4;3.1;0.4;0;4.8;0;0;2006;14;Tuesday;February
678;0;4.5;0;0;1.5;5.3;-0.8;3.2;5.8;0.5;4.1;0;0;2006;15;Wednesday;February
825;0;6.4;14;0;3.9;9.3;2.7;5.4;21.5;18.7;12.8;0;0;2006;16;Thursday;February
