Name,Price,Mileage,Doors,Horsepower,Seats,Year,Cabriolet,Black,ImageId
MERCEDES-BENZ SL 500,44800,27600,2,320,2,1996,True,False,926290cb-c1f2-4c49-8811-ab561f609e30
MERCEDES-BENZ SL 600,69800,12900,2,394,2,1996,True,False,e2dad305-d0f5-4ef5-9061-3282cb992a51
BMW 740iL,22800,18300,4,286,5,1999,False,False,51d42968-fa2f-495e-90a3-a2c222d6d350
MERCEDES-BENZ SL 320,44800,25100,2,224,2,2000,True,False,776381f0-fa48-4075-ae13-809e718cd96f
PORSCHE 911 GT2,199800,300,2,462,4,2004,False,True,d371d7a4-97ef-4850-a6e9-52fb5669bcae
BMW 740i,14800,63000,4,286,5,1998,False,False,58d9742e-5d30-47d6-8df2-83940996a241
LOTUS Esprit 3.5 V8 SE,109800,150,2,354,2,2002,False,False,a9a44b61-63d3-4874-859d-bb8cc92e202a
MERCEDES-BENZ CL 500,34800,27800,2,299,4,2001,False,False,02adc068-ec7c-4e8a-93be-fa05fbc13791
MERCEDES-BENZ CL 500,29900,39600,2,306,4,2000,False,False,82d1d696-1080-408e-aaf8-18a8a40adc5d
MERCEDES-BENZ C 43 AMG Sport,17800,64100,5,306,5,1998,False,False,48c4d9f0-a719-480e-865d-7220e2d40dbf
MERCEDES-BENZ C 43 AMG Sport,19800,55300,5,306,5,1999,False,True,a068ff31-3e72-478e-a354-19f311871d47
MERCEDES-BENZ CL 600,29900,36600,2,394,4,1996,False,True,dee9c451-c627-460e-b848-8893075c2d3e
BMW 328i A Cabrio,12800,49900,2,193,4,1995,True,False,3fa97e7b-e9cc-4682-a33b-9e73ad2ae1e5
VW Passat 1.8 Comfort,6900,146000,5,125,5,1999,False,False,363dc721-16ea-4099-88ea-2f2675eabdbb
BMW M5,24800,68500,4,400,5,1999,False,True,b55d6639-059e-4035-94ab-92774dac1ba1
BMW 540i Touring,19800,85800,5,286,5,1998,False,True,2cb8d523-8089-41a6-a73b-667a21678712
FERRARI F355 GTS,64800,34800,2,380,2,1998,True,False,7d70ea82-9ccf-4bd6-a6ae-bc910011ef6f
JAGUAR S-Type 4.0 V8,19800,69200,4,276,5,1999,False,False,d7476f16-d775-4ed6-bced-3a3563568037
AUDI RS4 Avant quattro,36800,37800,5,380,5,2001,False,False,ad1e1abc-aef3-4eb8-a09b-944cc6375f7c
RENAULT Espace 3.0 V6 Aliz+®,9800,97000,5,191,5,1999,False,False,2d2fd6dc-a7a8-45e6-9836-9ba5b0e3d1a2
HYUNDAI Galloper 3.0 V6,14800,75000,5,141,5,2000,False,False,c13f34e2-1eca-403d-9b11-8cd5c53bb0d7
RENAULT Laguna 3.0 V6 Dynamique,15550,70000,5,208,5,2001,False,False,66dc6892-422a-442d-a10d-9f4ac12d40a7
FERRARI 575M,129800,1300,2,517,2,2002,False,False,ac7fba4d-b8b0-4376-a692-249ad9f498c2
PORSCHE 911 GT3,94800,20000,2,360,4,2000,False,True,741eef99-aff4-425c-9feb-864aed41c394
VOLVO S40 2.0 T,8900,107000,4,160,5,1999,False,True,72a8fe06-2ba9-479e-a6e2-32c2e335fe5e
MERCEDES-BENZ CL 55 AMG,34800,50200,2,360,4,2001,False,False,1d55c34d-d94e-48aa-b781-2c5ef29a365a
PORSCHE 911 Turbo,59800,26300,2,420,4,2001,False,False,c36c1ad1-4d05-42b0-aef2-8a8553766818
MERCEDES-BENZ SLK 320,22800,43200,2,218,2,2000,True,True,251eb3d8-eeac-4080-bac7-236f97a38986
AUDI A8 4.2 FSI quattro ,183710,650,5,350,5,2008,False,False,a8189ed2-af0c-4c2f-8ccf-f26c492803da
BMW M5,19800,171000,4,400,5,2000,False,True,c617dbe5-581d-4c16-853f-b92072fddfa8
JAGUAR XJR 4.0 Supercharged,12500,106000,4,320,5,1995,False,False,e57cc73b-d946-4135-ab3d-9056c1c30171
RENAULT Laguna 2.0 16V Expression,12500,41000,5,140,5,2002,False,False,196b3567-40dc-4b28-b778-fc47da64e32d
BMW 540i,14800,78700,4,286,5,1998,False,False,7d5db0f7-a174-4e6c-84c0-9acc05f35a4f
AUDI A6 Avant 4.2 q.Ambiente,12800,75200,5,300,5,1999,False,False,037d5c94-d488-4a5e-9cca-4594e3a5661d
MERCEDES-BENZ S 500 L,29800,32700,4,306,5,1999,False,False,72fbd414-964e-42da-89fd-d55aa38aa93b
AUDI A8 4.2 quattro,12800,37000,4,310,5,1999,False,False,f031dfb1-733c-4686-a9c2-03edd792c4bf
FERRARI F360 Modena Berlinetta,69800,20700,2,400,2,1999,False,False,861b1bb2-41a9-4a35-90ed-44b07738b0a7
MERCEDES-BENZ E 55 AMG Avantgarde,19800,63400,4,354,5,1998,False,True,554ef280-812f-472c-8010-189641db807b
PORSCHE 911 GT3,99800,8900,2,360,4,2001,False,False,7f65aeaa-a10f-4254-90ee-b9c8b862cd38
MERCEDES-BENZ CL 600,24900,103800,2,367,4,2000,False,False,89eddd01-82c9-47fb-8fcc-3eb0e4fd00a5
AUDI A8 4.2 quattro,26800,26300,4,335,5,2003,False,False,bdaee115-b855-476d-99a5-14e4c9550feb
CHRYSLER Voyager 2.4 SE,6900,123000,5,150,7,1997,False,False,27ceda47-e49b-48fa-9710-72121bfab415
BMW-ALPINA B10 4.6 S.Tronic,24800,94400,4,347,5,1998,False,False,91efda0d-b705-4a73-bffc-76f797d8f0e5
MERCEDES-BENZ E 320 El+®gance,14800,56100,4,220,5,1996,False,False,e07943e5-42c3-4e06-a189-7e42b2a59563
VOLVO C70 2.4T,17900,52300,2,193,4,2007,False,True,3f35afbe-93b2-4b1f-940e-d493263158c2
MERCEDES-BENZ SL 55 AMG,49800,33400,2,476,2,2002,True,False,32c19c73-106d-4601-b657-33498f8a501f
MERCEDES-BENZ SL 55 AMG,69800,31200,2,476,2,2002,True,False,bf8bad90-439f-48ce-9cec-811b8b1ced8f
VW Golf 1.8 T GTI,55500,60000,5,150,5,2000,False,False,6c36c510-ed01-4e78-8c27-d00807b96825
AUDI A8 4.2 quattro,26800,26700,4,335,5,2003,False,False,9ab04cc0-9094-4060-9f0c-bfef63371040
MERCEDES-BENZ SL 55 AMG,99800,32000,2,500,2,2002,True,False,958e8329-f6f3-4557-920e-9ff12035c353
MERCEDES-BENZ CL 600,64800,12200,2,500,4,2003,False,False,c0732101-2ece-4e8d-9fce-81c2f1c6bf7e
MERCEDES-BENZ C 280 Sport,9800,125500,4,197,5,1997,False,True,4f2c3b87-a217-4ee6-a05b-a80bdca54bcc
MERCEDES-BENZ CL 600,99800,29500,2,500,4,2003,False,False,a4ad880b-4044-4fb3-8fb8-cd34524a968f
FERRARI F355 Berlinetta,54800,47000,2,380,2,1996,False,False,fb5e0b9f-c2d0-40c1-9b18-05f829d30f94
AUDI A6 4.2 quattro Ambition,12800,53700,4,300,5,1999,False,False,b5845509-f4a8-4588-b9ed-2477a79ede66
VW Phaeton 6.0 W12 4Motion,29800,14600,4,420,5,2002,False,False,ef94b270-bdc3-45c7-a1ae-cd5bddcb45de
AUDI A8 4.2 quattro,8800,125400,4,300,5,1997,False,False,d5e2ea8e-04c8-45ee-ad79-d9f7c858344d
AUDI A4 Avant 2.6,6400,156000,5,150,5,1997,False,False,17c92d99-f10c-4cfb-bd34-7e55325c74f3
VOLVO C70 2.4T,15900,110500,2,193,4,2000,False,False,b6a1a526-ab26-4172-a947-d3545001318e
BMW 330i,25800,49700,4,231,5,2000,False,True,1754d6e0-55f9-4ba3-8fb4-c25efc38ba52
LAND ROVER Range Rover 4.6 HSE,19800,46500,5,226,5,1995,False,True,509320b9-30ba-4d82-9f43-2fdfcb0887be
BMW M5,28800,62100,4,400,5,2000,False,True,62bd3b29-9589-4b52-98f4-a24f2b47c17c
MERCEDES-BENZ CL 500,59800,165,2,306,4,2005,False,True,70d0eb9b-09e2-4f12-8a72-00486ab33961
AUDI RS6 Avant quattro,54800,39300,5,450,5,2002,False,False,2d98befa-8fe9-42b1-b6c2-5c914669215f
JAGUAR XJR 4.0 Supercharged,19900,99900,4,320,5,1996,False,True,6536af32-de78-45e7-a52f-1f68062232ef
MERCEDES-BENZ CLS 500,44800,21300,4,306,4,2005,False,False,20caf726-3ab8-4f30-a412-680ca9a0912a
AUDI RS6 Avant quattro,54800,36900,5,450,5,2002,False,False,5c70a5a3-e89b-4712-a683-8a8494dbea80
BMW 735i,19800,33900,4,238,5,1999,False,False,f651387c-5d62-4bef-b14e-0f3216cee28d
PORSCHE 911 Carrera 4,54800,38200,2,300,4,2000,False,False,5400d6ca-7c91-499a-9ebd-5bd2614cf682
MERCEDES-BENZ SLK 230 Kompressor,22800,38700,2,197,2,2002,True,True,f8a98d19-2361-444f-b566-00d03c5120a1
AUDI RS4 Avant quattro,34800,57500,5,380,5,2001,False,False,5798489f-b4b0-440a-b91a-5adc35dcaf1a
MERCEDES-BENZ S 500,79800,1500,4,388,5,2005,False,False,934cba05-133d-46a9-acfc-1fedd8ac365d
MERCEDES-BENZ CL 55 AMG,49800,48300,2,500,4,2002,False,False,fa523826-0988-4457-8c32-3a6794385f5b
VW Golf 1.6 FSI Trend,10990,64000,3,115,5,2004,False,False,d6e463b1-db08-4b34-a485-3742e8777d7e
AUDI RS6 Avant quattro,49900,41100,5,450,5,2003,False,True,69a3fe1d-30ae-481d-92d0-edf33dc77419
MERCEDES-BENZ S 320,22800,69100,4,224,5,2002,False,False,9cfd4c3a-5914-4026-8c19-0ba8269a9b1c
AUDI RS4 Avant quattro,36800,50000,5,380,5,2001,False,False,14669e2c-7049-406c-924b-88c102c075e8
FERRARI F550 Maranello,79800,13300,2,485,2,2002,False,False,5e508bea-0c57-432e-a12f-c47b3f1940d1
BMW 745i,39900,57700,4,333,5,2002,False,False,f1714ae3-eed3-4aaa-ba27-91aa940fbba2
CITROEN C5 3.0 V6 Exclusive,7900,83800,5,208,5,2001,False,True,7b1e046c-7690-4ea4-b6f1-8cca43cd503d
BMW X5 4.4i,32800,60100,5,286,5,2002,False,False,726ff1c2-fd24-4a73-9f4a-6cedfe9bb99a
BMW 545i,34800,33600,4,333,5,2003,False,False,6487f94c-d6c0-4209-b391-32e4a03f68d6
MERCEDES-BENZ R 500 4Matic,89800,500,5,306,6,2006,False,False,95fe963b-4d2a-40a4-a0f2-b5b737e90c5a
HONDA Accord 2.4i Executive,17500,23000,4,190,5,2007,False,False,b65560a0-6a0e-4ac1-9048-ea54c88237df
AUDI A8 4.2 quattro,9800,101800,4,310,5,1999,False,False,2a5eb3d8-c431-4fad-8062-6e4e65f0c8da
AUDI RS4 4.2 V8 quattro,69800,1350,4,420,5,2011,False,True,d5a35fe4-b121-4d68-a5eb-236f58f55025
MERCEDES-BENZ S 600 L,49900,48100,4,500,5,2003,False,True,ccc5d94c-cf2f-46b2-b11f-1a6a6a3f94ee
SUZUKI Ignis 1.5 16V Sport,9900,19500,3,110,4,2004,False,False,7a044553-aa16-40f0-8575-e9457bf5730e
AUDI RS6 Avant quattro,49800,55000,5,450,5,2004,False,True,1ee8ce93-3949-4ba4-8fc0-43cf27d5b3ed
BMW M6,69800,8500,2,507,4,2005,False,True,8e30a8e8-164f-4b8c-90a2-7a6969ea2c38
MERCEDES-BENZ E 320 El+®gance 4-Matic,16800,83900,4,224,5,2000,False,False,a26c3117-175b-43a8-9393-ad3017957af6
AUDI A8 4.2 quattro,26800,35100,4,335,5,2002,False,True,634564b1-601e-4c7b-b39e-5fb4aa855637
MERCEDES-BENZ S 55 L AMG,49800,73900,4,500,5,2003,False,False,a19a8a4e-afe5-44f6-92ed-0f10a06ff027
MERCEDES-BENZ SL 500,54800,15600,2,306,2,2001,True,False,20bedc55-25fb-4a17-bf97-5d4a36e89cb1
MERCEDES-BENZ C 280 Sport,8500,95600,4,197,5,1998,False,False,43716faa-e267-4687-bb7a-39df43f27598
AUDI RS6 Avant quattro,49800,47000,5,450,5,2003,False,True,b572a2f1-326f-4212-852e-3d03e6bc20c8
AUDI Q7 3.0 TDI quattro,109000,10,5,233,5,2007,False,True,4c5f6400-d4ac-4383-b995-5e611c451f96
FORD (USA) Explorer 4.0 Ltd. Edition,14800,50100,5,197,5,1999,False,False,aba031c5-22cb-4e99-a96e-2a3c547b4caa
MERCEDES-BENZ SL 500,99800,7600,2,306,2,2004,True,False,67a421cb-e4a9-47a4-a95d-8959d4768c79
ROLLS-ROYCE Corniche,299000,6000,2,329,4,2002,True,False,387dcf25-0765-42a5-9baf-a62cef5589d1
ALFA ROMEO 156 2.5 V6 Distinctive,8900,38750,5,192,5,2002,False,False,fc06b986-cc00-46ed-b97b-5cb58c411bd0
VW New Beetle 1.8 T,8900,95250,3,150,4,2000,False,False,f3c096dc-3811-437a-8a2e-ced3e58df252
AUDI A4 Avant 1.8 T Advance,10500,132500,5,150,5,2000,False,False,1d327a84-32c4-4654-a02f-467942243372
VW New Beetle 1.8 T,19900,5400,3,150,4,2000,False,True,e3ea533f-9d9a-4fb4-af2f-f03b52089368
AUDI RS6 Avant quattro,59800,36500,5,450,5,2005,False,False,40bc1986-561d-495c-b3fa-3882ee9e083d
MERCEDES-BENZ SL 600,69800,32500,2,500,2,2003,True,True,e57019e7-2624-44e1-be40-f9f0acb67792
BMW 525i,13800,125900,4,193,5,2002,False,False,a4cc2e6f-b6d9-4b87-b577-05e924aeecc2
AUDI A3 2.0T FSI Ambition qu,34400,40,5,200,5,2006,False,True,f9db127d-8f2c-4278-a67f-bc061c2a669f
MERCEDES-BENZ SL 600,79800,14500,2,500,2,2004,True,False,c0de2481-fe47-4e4e-9cc0-2ef5619b1440
MERCEDES-BENZ SL 55 AMG,59800,6000,2,476,2,2002,True,False,e66cbf81-e04f-4680-9636-3113acd2d935
MERCEDES-BENZ CL 55 AMG,39800,56000,2,360,4,2001,False,False,21b86cb5-903d-4eb9-9cf1-984b73452636
MERCEDES-BENZ S 320,14800,128000,4,224,5,1999,False,False,b4ef94c2-1a60-4f5f-96aa-625659824c2d
MERCEDES-BENZ S 500,18900,112800,4,299,5,1999,False,True,f27d2f59-8420-408c-b475-b36487c3fe4f
OPEL Zafira 2.2i Cosmo,19900,32000,5,150,7,2006,False,False,065d6a89-aa73-421f-b17d-73151c976975
MASERATI Coup+® GT,34900,111320,2,390,4,2002,False,False,b54d96dc-5ece-486a-974a-e2ac765977e3
PORSCHE 911 Turbo,59800,29000,2,420,4,2002,False,False,7de3f861-031c-40aa-bf4a-49d0b2318490
NISSAN Micra C+C 1.4 acenta,12800,48000,2,88,4,2006,True,False,02614ead-f733-4f17-9da5-32f450bd8180
MERCEDES-BENZ SL 600,99800,13900,2,500,2,2003,True,True,a4e0b197-7bf6-4245-b1f6-f0e9f6518097
CHEVROLET Nubira 1.8 16V mondiale,12500,16000,5,121,5,2007,False,False,a838e795-ee2d-49a7-ba39-19cbffc663b4
HONDA Civic 1.4i Comfort,11400,21000,5,83,5,2006,False,False,e7798591-2b7f-492c-ad72-3cec7054b5c3
RENAULT M+®gane 1.6 16V Expression,9800,24100,2,108,4,2001,True,False,ac15e962-f9b9-42ce-842e-4ff5eb17e200
MERCEDES-BENZ CL 600,94800,41100,2,500,4,2003,False,False,99c18f3b-3f29-48c4-951b-4d1f7cee4772
MERCEDES-BENZ S 500,26900,47000,4,306,5,1999,False,False,0207f5f5-18f7-47e1-9cbb-11a367e612e3
MASERATI Coup+® GT,54800,23200,2,390,4,2002,False,False,dfb11300-3583-4d0e-ae58-04ffea926f27
AUDI RS6 Avant quattro,69800,32300,5,450,5,2003,False,False,4a1c8c97-e63b-41f0-91cd-0b5e6c870877
PORSCHE 911 Carrera 4 Cabrio,37500,163000,2,300,4,2000,True,True,b478ca8a-0d4b-4412-a715-e334eb3eaf42
MERCEDES-BENZ E 280 El+®gance,7500,144000,4,193,5,1996,False,False,0287c242-3b34-4971-bfe4-d008fc9228bf
AUDI A4 3.0 V6 quattro,9900,138000,4,220,5,2002,False,True,16ff45c4-8181-4fb9-9d7d-0c61b19c304e
AUDI RS6 Avant quattro,54800,43400,5,450,5,2003,False,False,1fe44e9d-2d53-4b7d-822b-a6ba9ff7ede3
PORSCHE 911 Turbo Cabrio,69800,13700,2,420,2,2004,True,False,30bfe078-75de-45ba-a815-b3518e2c9262
MERCEDES-BENZ C 230 El+®gance,10800,123400,4,150,5,1997,False,False,912b8dab-954f-4284-ba57-68c6592b7200
MERCEDES-BENZ CL 600,49800,29000,2,367,4,2000,False,False,b4749f7c-6f56-4059-b1be-fabc6cf74c2c
VOLVO V70 D5 AWD A,18999,118000,5,163,5,2003,False,False,f9f0d4d8-3bb3-4df0-808c-8e42aa2194c1
MERCEDES-BENZ ML 430,32800,16000,5,272,5,2001,False,False,54d3507b-42b1-40af-a033-ef2d8d58583e
MERCEDES-BENZ CL 600,94800,22400,2,500,4,2003,False,True,487d109e-4e65-4b47-a550-d7097f1f076a
MERCEDES-BENZ CL 500,29800,55900,2,306,4,2001,False,False,3bda7f0b-d008-4dd4-a609-17fa3a6bbeb5
FIAT Stilo 2.4 20V AbarthSLSPD,9000,17000,3,170,5,2003,False,False,a4708886-9f7d-468b-8c50-4d4a1893868e
ALFA ROMEO 166 3.0 V6 24V Super,14800,56400,4,226,5,1999,False,True,4efa3d2d-68f9-4c79-952d-f43df009d75b
AUDI RS6 Avant quattro,114800,21400,5,450,5,2002,False,False,57a17862-e672-4a75-a5e2-b8a0fb3de03f
