user_id,category_id,views
11135,6,1
11135,7,3
11135,8,9
11135,10,7
11135,11,1
11135,12,1
11135,15,1
11135,23,2
11135,30,1
11135,32,3
11135,40,1
11135,44,2
11135,48,3
11135,56,3
11135,57,1
11135,64,2
11135,66,1
11135,69,1
11135,70,3
11135,81,1
11135,92,3
20918,1,2
20918,3,2
20918,6,1
20918,8,5
20918,10,3
20918,11,1
20918,12,2
20918,16,1
20918,33,2
20918,44,1
20918,48,1
20918,56,1
20918,64,1
20918,77,1
20918,92,1
1752,7,1
1752,41,1
1752,56,1
6349,60,1
6349,81,1
6349,92,1
18761,6,1
18761,78,1
15415,6,1
15415,7,2
15415,8,5
15415,10,3
15415,37,1
15415,92,1
17468,10,1
12542,8,1
12542,10,3
12542,12,1
12542,16,1
12542,56,1
5535,6,1
5535,10,1
5535,12,1
5535,16,1
5535,38,1
5535,44,1
5535,48,3
6085,16,1
6085,32,1
6085,77,1
18412,8,1
18412,9,2
18412,56,1
18412,70,1
7961,6,1
7961,7,1
7961,9,1
7961,10,1
7961,22,2
7961,25,2
7961,45,1
7961,64,1
7961,92,2
19552,1,1
19552,15,1
19552,40,1
19552,62,1
14970,60,2
4436,56,1
15154,6,2
15154,8,1
15154,37,1
15154,40,1
15154,65,1
4224,8,1
4224,16,1
4224,32,1
4224,40,1
4362,1,1
4362,8,6
4362,10,3
4362,56,2
4362,64,4
4362,81,1
4362,92,1
18302,10,1
18302,37,1
18302,70,1
8871,44,1
8871,58,1
16063,3,10
16063,8,1
16063,11,7
16063,16,2
16063,46,1
16063,56,1
16063,63,1
16063,64,4
5303,1,1
5303,6,1
5303,8,1
5303,10,2
5303,16,1
5303,44,1
5303,48,1
5303,64,1
5303,79,2
20770,2,1
20770,9,1
20770,29,1
20770,48,2
20770,96,1
23176,8,1
23176,10,1
23176,12,1
23176,16,1
23176,26,1
23176,31,2
23176,40,2
23176,46,1
23176,47,1
23176,65,2
7470,3,2
7470,7,3
7470,8,2
7470,9,1
7470,10,29
7470,12,1
7470,23,1
7470,26,4
7470,27,1
7470,31,2
7470,37,1
7470,38,1
7470,40,1
7470,41,1
7470,56,4
7470,58,2
7470,79,2
20747,40,1
20747,64,4
13264,7,2
13264,8,1
13264,9,1
13264,25,1
13264,35,1
13264,47,1
13264,56,1
11746,78,1
15744,24,4
15744,48,4
19211,60,1
14747,1,1
14747,7,2
14747,8,7
14747,10,5
14747,12,2
14747,16,1
14747,21,9
14747,22,2
14747,25,3
14747,26,2
14747,32,5
14747,37,3
14747,40,1
14747,41,3
14747,46,3
14747,48,1
14747,64,6
14747,65,3
14747,92,3
19866,3,5
19866,10,3
19866,11,1
19866,16,2
19866,31,1
19866,63,1
19866,64,2
19866,78,1
23273,10,2
23273,16,1
23273,23,1
23273,47,1
23273,64,18
23273,90,1
2524,1,2
2524,7,1
2524,8,4
2524,10,1
2524,11,4
2524,16,3
2524,30,1
2524,32,1
2524,37,1
2524,38,3
2524,41,4
2524,44,1
2524,47,1
2524,48,2
2524,56,10
2524,60,1
2524,64,3
2524,66,1
2524,67,2
2524,78,1
2524,81,1
2524,92,4
12267,6,1
12267,16,1
12267,64,3
2272,1,1
2272,2,1
2272,31,1
2272,64,1
2272,72,1
2188,1,1
2188,8,2
7048,7,1
7048,8,1
7048,23,1
7048,37,1
7048,41,1
7048,47,1
7048,56,2
7048,58,1
7048,79,1
11651,8,4
11651,9,1
11651,10,2
11651,22,1
11651,23,1
11651,27,2
11651,37,1
11651,56,3
11651,79,2
2979,2,1
2979,8,2
2979,10,1
2979,11,4
2979,12,4
2979,16,1
2979,22,2
2979,25,1
2979,41,1
2979,47,1
2979,48,1
2979,56,1
2979,60,1
2979,64,5
17234,63,1
3769,6,1
3769,26,3
3769,78,1
3769,79,2
15562,6,1
15562,8,7
15562,10,2
15562,11,1
15562,12,1
15562,33,1
15562,60,1
15562,70,1
15562,77,1
15562,78,1
15562,79,4
5018,1,3
5018,2,5
5018,3,4
5018,12,1
5018,64,7
5018,70,6
11941,2,1
11941,6,1
11941,7,1
11941,8,4
11941,10,4
11941,11,1
11941,12,7
11941,16,1
11941,23,5
11941,31,1
11941,32,1
11941,33,2
11941,35,1
11941,37,1
11941,38,1
11941,41,1
11941,44,2
11941,56,5
11941,57,2
11941,62,1
11941,63,3
11941,64,4
11941,66,1
11941,69,1
11941,70,1
11941,79,2
11941,92,1
18576,1,2
18576,8,2
18576,16,1
18576,29,1
18576,32,2
18576,37,2
18576,44,1
18576,56,1
18576,62,3
18576,64,3
18576,78,2
18576,79,2
18576,110,2
18576,111,2
3844,6,1
3844,22,1
3844,41,1
3844,64,3
3844,70,1
3844,72,1
3844,96,8
10467,6,5
10467,8,6
10467,9,1
10467,10,2
10467,12,2
10467,15,1
10467,16,1
10467,21,1
10467,23,2
10467,26,1
10467,36,1
10467,38,1
10467,40,1
10467,45,1
10467,47,1
10467,48,4
10467,56,2
10467,58,1
10467,64,2
10467,78,2
10467,92,1
18628,1,1
18628,3,1
18628,6,2
18628,8,8
18628,10,8
18628,11,1
18628,12,1
18628,16,1
18628,23,5
18628,26,3
18628,27,1
18628,41,1
18628,47,1
18628,48,1
18628,58,2
18628,64,4
18628,79,1
18628,92,1
18628,96,1
13517,7,6
13517,8,8
13517,9,3
13517,10,3
13517,12,2
13517,21,1
13517,22,1
